,UID,Product #,Product Description,Qty,Unit Price,Total Price
0,1,100-1,"400 Series Awning
Overall Joined Rough Opening = 99 1/4"" x 24 5/8""
Overall Joined Unit = 98 3/4"" x 24 1/8""
Installation Zip Code = 55082
U.S. ENERGY STAR® Climate Zone = Northern
Search by Unit Code = No
Standard Width = RO: 24 5/8"" | UNIT: 24 1/8""
Standard Height = RO: 24 7/8"" | UNIT: 24 3/8""
Frame Width = 24 1/8
Frame Height = 24 1/8
Unit Code = A21
Frame Option = Installation Flange
Combination Operation / Venting = Vent(All)
Venting / Handing = Vent
Electric Operator Prep = No
Exterior Color = Sandtone
Interior Species = Pine
Interior Finish Color = Unfinished
Glass Construction Type = Dual Pane
Glass Option = Low-E4
High Altitude Breather Tubes = No
Glass Strength = Standard
Glass Tint = No Tint
Specialty Glass = None
Gas Fill = Argon
Art Glass Series = None
None
DP/PG Upgrade = Yes
Hardware Style = Classic Series
Hardware Color/Finish = White
Corrosion Resistant Hardware = None
Security Sensor Type = None
Insect Screen Type = None
Exterior Trim Style = 3 1/2"" Flat
Exterior Trim Type = Sill Nose
Exterior Trim Color = White
Exterior Trim Sill Size = 1 3/4""
Exterior Trim Application Method = Pre-cut Trim Kit
Extension Jamb Type = None
Installation Material Options = No
Re-Order Item = No
Room Location = None
Unit U-Factor = 0.28
Unit Solar Heat Gain Coefficient (SHGC) = 0.31
U.S. ENERGY STAR Certified = No
Hardware Part Number = 1521026
Vertical
Factory
0.75"" thick, 24.125"" length
SKU = 289185
Vendor Name = S/O ANDERSEN LOGISTICS
Vendor Number = 60509030
Customer Service = (888) 888-7020
Catalog Version Date = 03/26/2019",1,"$2,289.30","$2,289.30"
1,2,100-2,"400 Series Awning
Overall Joined Rough Opening = 99 1/4"" x 24 5/8""
Overall Joined Unit = 98 3/4"" x 24 1/8""
Installation Zip Code = 55082
U.S. ENERGY STAR® Climate Zone = Northern
Search by Unit Code = No
Standard Width = RO: 24 5/8"" | UNIT: 24 1/8""
Standard Height = RO: 24 5/8"" | UNIT: 24 1/8""
Frame Width = 24 1/8
Frame Height = 24 1/8
Unit Code = A21
Frame Option = Installation Flange
Combination Operation / Venting = Vent(All)
Venting / Handing = Vent
Electric Operator Prep = No
Exterior Color = Sandtone
Interior Species = Pine
Interior Finish Color = Unfinished
Glass Construction Type = Dual Pane
Glass Option = Low-E4
High Altitude Breather Tubes = No
Glass Strength = Standard
