,UID,Product #,Product Description,Qty,Unit Price,Total Price
0,1,100-1,400 Series Awning,1,"$2,299.30","$2,299.30"
1,,,"Overall Joined Rough Opening = 99 1/4"" x 24 5/8""",,,
2,,,"Overall Joined Unit = 98 3/4"" x 24 1/8""",,,
3,,,Installation Zip Code = 55082,,,
4,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
5,,,Search by Unit Code = No,,,
6,,,,,,
7,,,"Standard Width = RO: 24 5/8"" | UNIT: 24 1/8""",,,
8,,,,,,
9,,,"Standard Height = RO: 24 5/8"" | UNIT: 24 1/8""",,,
10,,,Frame Width = 24 1/8,,,
11,,,Frame Height = 24 1/8,,,
12,,,Unit Code = A21,,,
13,,,Frame Option = Installation Flange,,,
14,,,Combination Operation / Venting = Vent(All),,,
15,,,Venting / Handing = Vent,,,
16,,,Electric Operator Prep = No,,,
17,,,Exterior Color = Sandtone,,,
18,,,Interior Species = Pine,,,
19,,,Interior Finish Color = Unfinished,,,
20,,,Glass Construction Type = Dual Pane,,,
21,,,Glass Option = Low-E4,,,
22,,,High Altitude Breather Tubes = No,,,
23,,,Glass Strength = Standard,,,
24,,,Glass Tint = No Tint,,,
25,,,Specialty Glass = None,,,
26,,,Gas Fill = Argon,,,
27,,,Art Glass Series = None,,,
28,,,None,,,
29,,,DP/PG Upgrade = Yes,,,
30,,,Hardware Style = Classic Series,,,
31,,,Hardware Color/Finish = White,,,
32,,,Corrosion Resistant Hardware = None,,,
33,,,Security Sensor Type = None,,,
34,,,Insect Screen Type = None,,,
35,,,"Exterior Trim Style = 3 1/2"" Flat",,,
36,,,Exterior Trim Type = Sill Nose,,,
37,,,Exterior Trim Color = White,,,
38,,,"Exterior Trim Sill Size = 1 3/4""",,,
39,,,Exterior Trim Application Method = Pre-cut Trim Kit,,,
40,,,Extension Jamb Type = None,,,
41,,,Installation Material Options = No,,,
42,,,Re-Order Item = No,,,
43,,,Room Location = None,,,
44,,,Unit U-Factor = 0.28,,,
45,,,Unit Solar Heat Gain Coefficient (SHGC) = 0.31,,,
46,,,U.S. ENERGY STAR Certified = No,,,
47,,,Hardware Part Number = 1521026,,,
48,,,Vertical,,,
49,,,Factory,,,
50,,,"0.75"" thick, 24.125"" length",,,
51,,,SKU = 289185,,,
52,,,Vendor Name = S/O ANDERSEN LOGISTICS,,,
53,,,Vendor Number = 60509030,,,
54,,,Customer Service = (888) 888-7020,,,
55,,,Catalog Version Date = 03/26/2019,,,
56,2,100-2,400 Series Awning,1,$13.80,$13.80
57,,,"Overall Joined Rough Opening = 99 1/4"" x 24 5/8""",,,
58,,,"Overall Joined Unit = 98 3/4"" x 24 1/8""",,,
59,,,Installation Zip Code = 55082,,,
60,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
61,,,Search by Unit Code = No,,,
